date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,high
2020-01-01,4.3,1.7,5.6,0,0,272,25.6,,1007.6,,42.08
2020-01-02,4.3,1.1,9.4,0,0,218,13,,1013.2,,48.92
2020-01-03,8.1,7.2,9.4,3.6,0,243,7.6,,1009.5,,48.92
2020-01-04,8.4,5,10,6.1,0,13,13.7,,1003.3,,50
2020-01-05,4.6,2.2,5,0,0,311,32.4,,1009.4,,41
2020-01-06,2.9,0,6.7,0.5,30,243,20.5,,1014.6,,44.06
2020-01-07,5.1,1.7,6.7,0,0,353,14,,1015.7,,44.06
2020-01-08,2.5,-2.1,6.1,0,0,279,28.8,,1015.8,,42.98
2020-01-09,-1.8,-4.3,1.1,0,0,315,17.6,,1038.1,,33.98
2020-01-10,4.5,0.6,11.7,0,0,212,15.1,,1033.8,,53.06
2020-01-11,12.7,8.9,18.9,0,0,181,16.6,,1022.8,,66.02
2020-01-12,15.7,6.7,19.4,1.5,0,250,26.3,,1017.4,,66.92
2020-01-13,6.1,2.8,7.2,0,0,46,14.4,,1029.1,,44.96
2020-01-14,5.1,3.9,6.7,1.8,0,57,10.8,,1024.9,,44.06
2020-01-15,6.9,5.6,10,0,0,302,13.7,,1020.3,,50
2020-01-16,7.2,1.1,10,3,0,279,33.8,,1014.3,,50
2020-01-17,-1.5,-6,1.1,0,0,325,31,,1034.2,,33.98
2020-01-18,-4.7,-6.6,2.8,4.6,0,227,14,,1028,,37.04
2020-01-19,3.7,-2.1,6.1,0,0,283,27,,1008.2,,42.98
2020-01-20,-2.6,-6,0,0,0,325,27.7,,1023.6,,32
2020-01-21,-3.4,-6,0.6,0,0,327,14.8,,1030.3,,33.08
2020-01-22,-0.5,-3.2,3.9,0,0,346,5.4,,1030.7,,39.02
2020-01-23,3.3,-1,7.8,0,0,275,6.8,,1028.7,,46.04
2020-01-24,4.8,0.6,7.8,0,0,45,11.5,,1027.2,,46.04
2020-01-25,5.2,3.3,11.1,19.8,0,63,24.1,,1014.3,,51.98
2020-01-26,5.9,3.9,7.8,0,0,264,20.2,,1008.6,,46.04
2020-01-27,4.7,3.3,7.2,0,0,278,22,,1005.9,,44.96
2020-01-28,4.2,2.8,5.6,0,0,310,25.9,,1009.6,,42.08
2020-01-29,2.3,-0.5,4.4,0,0,348,19.4,,1017.8,,39.92
2020-01-30,-0.7,-3.8,1.7,0,0,39,13,,1025.9,,35.06
2020-01-31,2,0.6,5.6,0.3,0,58,10.4,,1025.6,,42.08
2020-02-01,3.8,2.8,5.6,0.3,0,55,7.6,,1012.8,,42.08
2020-02-02,3.9,1.7,6.1,1.5,0,275,14,,1001.6,,42.98
2020-02-03,6.7,2.8,13.3,0,0,243,14,,1008.3,,55.94
2020-02-04,8,3.9,14.4,0.3,0,55,8.6,,1008.9,,57.92
2020-02-05,6.9,3.3,11.7,0,0,27,16.6,,1015.2,,53.06
2020-02-06,3.5,1.7,5,14.2,0,53,18,,1003.6,,41
2020-02-07,4.7,0.6,14.4,7.4,0,341,29.2,,990.3,,57.92
2020-02-08,1.3,-1,4.4,0,0,273,22.7,,1019.9,,39.92
2020-02-09,1.6,-1,5.6,0,0,46,16.9,,1031.3,,42.08
2020-02-10,6.3,5.6,8.3,10.4,0,207,15.1,,1021.9,,46.94
2020-02-11,6.6,5.6,8.9,6.6,0,15,14,,1013.4,,48.02
2020-02-12,5.8,2.8,7.2,3.3,0,275,21.2,,1019.7,,44.96
2020-02-13,4.1,2.2,6.7,9.9,0,3,13.3,,1007.1,,44.06
2020-02-14,1.6,-7.1,4.4,0,0,317,28.1,,1024.2,,39.92
2020-02-15,-5.8,-9.3,-1,0,0,258,15.5,,1034.5,,30.2
2020-02-16,1.2,-1.6,6.7,0,0,236,10.4,,1021.8,,44.06
2020-02-17,6.3,3.3,10.6,0,0,349,11.5,,1023.7,,51.08
2020-02-18,4.8,2.8,8.3,0,0,52,15.8,,1022.6,,46.94
2020-02-19,6.4,0.6,8.9,0,0,317,23,,1022.4,,48.02
2020-02-20,0.7,-2.7,1.7,0,0,319,21.6,,1030.2,,35.06
2020-02-21,-2.1,-6,2.2,0,0,330,16.2,,1030.9,,35.96
2020-02-22,3.4,0,10,0,0,249,16.2,,1023.8,,50
2020-02-23,8.1,2.2,13.3,0,0,231,12.6,,1021.1,,55.94
